"title","url","source","published_at","points","comments","radar_updated_at"
"An AI agent bought a physical t-shirt over HTTP 402 with USDC, no human involved","https://forgemesh.io/blog/first-x402-physical-order-bought-with-curl","Hacker News / Algolia","07/09/2026 19:43:34","3","0","07/09/2026 20:21:21"
"Secret Collusion Among AI Agents","https://arxiv.org/abs/2402.07510","Hacker News / Algolia","07/09/2026 18:57:17","2","0","07/09/2026 20:21:21"
"One place to build, run and govern your company's AI agents","https://github.com/vstorm-co/agenticos","Hacker News / Algolia","07/09/2026 18:05:28","1","0","07/09/2026 20:21:21"
"Where every AI coding tool keeps its config","https://github.com/moneytool/agentmeld/blob/main/docs/where-ai-coding-tools-keep-their-config.md","Hacker News / Algolia","07/09/2026 16:19:09","2","0","07/09/2026 20:21:21"
"Show HN: Benzi – Code Intelligence Infrastructure for Frontier AI Models","https://github.com/oooscoos/Benzi","Hacker News / Algolia","07/09/2026 16:05:58","3","0","07/09/2026 20:21:21"
"Show HN: A local visual tool cli/mcp for agents to propose architecture changes","https://github.com/luiscleto/WorkBraid","Hacker News / Algolia","07/09/2026 14:19:29","1","0","07/09/2026 20:21:21"
